Contigs	Prediction_software	type	start	end	bitscore	strand	\ 	Information	COVERAGE
4110_AS_042zhAM	Prodigal:002006	CDS	10282	11058	.	+	0	ID=JHFGFCBP_00024;eC_number=3.4.22.-;Name=artA;db_xref=COG:COG4083;gene=artA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:D4GUZ4;locus_tag=JHFGFCBP_00024;product=Archaeosortase A	128.9974213
4110_AS_042zhAM	Prodigal:002006	CDS	11055	11720	.	+	0	ID=JHFGFCBP_00025;eC_number=4.1.1.65;Name=psd;gene=psd;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00664;locus_tag=JHFGFCBP_00025;product=Phosphatidylserine decarboxylase proenzyme	126.6936951
4110_AS_042zhAM	Prodigal:002006	CDS	11717	12388	.	+	0	ID=JHFGFCBP_00026;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00026;product=hypothetical protein	120.65625
4110_AS_042zhAM	Prodigal:002006	CDS	12436	12693	.	+	0	ID=JHFGFCBP_00027;eC_number=4.1.2.25;Name=mptD;db_xref=COG:COG2098;gene=mptD;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q6L2J9;locus_tag=JHFGFCBP_00027;product=Dihydroneopterin aldolase	100.1124039
4110_AS_042zhAM	Prodigal:002006	CDS	12713	13738	.	-	0	ID=JHFGFCBP_00028;eC_number=6.3.5.2;Name=guaAB;db_xref=COG:COG0519;gene=guaAB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O59072;locus_tag=JHFGFCBP_00028;product=GMP synthase [glutamine-hydrolyzing] subunit B	127.0516586
4110_AS_042zhAM	Prodigal:002006	CDS	13936	15201	.	+	0	ID=JHFGFCBP_00029;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00029;product=hypothetical protein	116.0995255
4110_AS_042zhAM	Prodigal:002006	CDS	15292	15906	.	-	0	ID=JHFGFCBP_00030;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00030;product=hypothetical protein	144.4878082
4110_AS_042zhAM	Prodigal:002006	CDS	15913	16230	.	-	0	ID=JHFGFCBP_00031;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00031;product=hypothetical protein	134.78302
4110_AS_042zhAM	Prodigal:002006	CDS	16261	16458	.	+	0	ID=JHFGFCBP_00032;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00032;product=hypothetical protein	58.6464653
4110_AS_042zhAM	Prodigal:002006	CDS	16563	17144	.	+	0	ID=JHFGFCBP_00033;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00033;product=hypothetical protein	134.7886658
4110_AS_042zhAM	Prodigal:002006	CDS	17207	17398	.	-	0	ID=JHFGFCBP_00034;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00034;product=hypothetical protein	121.1145859
4110_AS_042zhAM	Prodigal:002006	CDS	17972	18817	.	-	0	ID=JHFGFCBP_00035;eC_number=1.8.98.5;Name=hdrB;db_xref=COG:COG2048;gene=hdrB;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q50755;locus_tag=JHFGFCBP_00035;product=H(2):CoB-CoM heterodisulfide%2Cferredoxin reductase subunit B	114.5945663
4110_AS_042zhAM	Prodigal:002006	CDS	18814	19344	.	-	0	ID=JHFGFCBP_00036;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00036;product=hypothetical protein	111.2071533
4110_AS_042zhAM	Prodigal:002006	CDS	19344	20450	.	-	0	ID=JHFGFCBP_00037;eC_number=7.1.1.-;Name=ndhI_1;gene=ndhI_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01351;locus_tag=JHFGFCBP_00037;product=NAD(P)H-quinone oxidoreductase subunit I%2C chloroplastic	123.7271881
4110_AS_042zhAM	Prodigal:002006	CDS	20447	20776	.	-	0	ID=JHFGFCBP_00038;eC_number=7.1.1.-;Name=ndhI_2;gene=ndhI_2;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01351;locus_tag=JHFGFCBP_00038;product=NAD(P)H-quinone oxidoreductase subunit I%2C chloroplastic	170.6575775
4110_AS_042zhAM	Prodigal:002006	CDS	20766	23240	.	-	0	ID=JHFGFCBP_00039;eC_number=1.8.7.3;Name=hdrA2;db_xref=COG:COG1148;gene=hdrA2;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q8TM02;locus_tag=JHFGFCBP_00039;product=Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit A	114.1632309
4110_AS_042zhAM	Prodigal:002006	CDS	23305	23910	.	-	0	ID=JHFGFCBP_00040;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00040;product=hypothetical protein	130.3250885
4110_AS_042zhAM	Prodigal:002006	CDS	23918	26671	.	-	0	ID=JHFGFCBP_00041;eC_number=1.9.6.1;Name=napA;gene=napA;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01630;locus_tag=JHFGFCBP_00041;product=Periplasmic nitrate reductase	121.3086395
4110_AS_042zhAM	Prodigal:002006	CDS	26881	27153	.	-	0	ID=JHFGFCBP_00042;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00042;product=hypothetical protein	135.1282043
4110_AS_042zhAM	Prodigal:002006	CDS	27278	28591	.	+	0	ID=JHFGFCBP_00043;eC_number=3.1.-.-;Name=frsA;gene=frsA;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01063;locus_tag=JHFGFCBP_00043;product=Esterase FrsA	123.5312042
4110_AS_042zhAM	Prodigal:002006	CDS	28933	29313	.	+	0	ID=JHFGFCBP_00044;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00044;product=hypothetical protein	26.0078735
4110_AS_042zhAM	Prodigal:002006	CDS	29354	29644	.	+	0	ID=JHFGFCBP_00045;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00045;product=hypothetical protein	23.0068722
4110_AS_042zhAM	Prodigal:002006	CDS	29704	30570	.	-	0	ID=JHFGFCBP_00046;eC_number=6.3.3.7;Name=cfbD_1;db_xref=COG:COG2710;gene=cfbD_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q46FL2;locus_tag=JHFGFCBP_00046;product=Ni-sirohydrochlorin a%2Cc-diamide reductive cyclase complex%2C component CfbD	25.8431377
4425_AS_042zhAM	Prodigal:002006	CDS	730	1452	.	+	0	ID=JHFGFCBP_00047;Name=ycf3_1;gene=ycf3_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00439;locus_tag=JHFGFCBP_00047;product=Photosystem I assembly protein Ycf3	123.1355438
4425_AS_042zhAM	Prodigal:002006	CDS	1484	1996	.	-	0	ID=JHFGFCBP_00048;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00048;product=hypothetical protein	121.9142303
4425_AS_042zhAM	Prodigal:002006	CDS	1986	2426	.	-	0	ID=JHFGFCBP_00049;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00049;product=hypothetical protein	121.6485291
4425_AS_042zhAM	Prodigal:002006	CDS	2428	2757	.	-	0	ID=JHFGFCBP_00050;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00050;product=hypothetical protein	116.6181793
4425_AS_042zhAM	Prodigal:002006	CDS	2888	4240	.	+	0	ID=JHFGFCBP_00051;eC_number=3.5.4.10;Name=purH;gene=purH;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00139;locus_tag=JHFGFCBP_00051;product=Bifunctional purine biosynthesis protein PurH	129.5720673
4425_AS_042zhAM	Prodigal:002006	CDS	4179	5705	.	+	0	ID=JHFGFCBP_00052;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00052;product=hypothetical protein	137.67453
4425_AS_042zhAM	Prodigal:002006	CDS	5706	6767	.	+	0	ID=JHFGFCBP_00053;eC_number=2.1.1.216;Name=trm1;db_xref=COG:COG1867;gene=trm1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O59493;locus_tag=JHFGFCBP_00053;product=tRNA (guanine(26)-N(2))-dimethyltransferase	116.9143143
4425_AS_042zhAM	Prodigal:002006	CDS	7085	7756	.	+	0	ID=JHFGFCBP_00054;eC_number=1.5.1.40;Name=fno;db_xref=COG:COG2085;gene=fno;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O29370;locus_tag=JHFGFCBP_00054;product=F420-dependent NADP reductase	136.1949463
4425_AS_042zhAM	Prodigal:002006	CDS	7761	9050	.	-	0	ID=JHFGFCBP_00055;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00055;product=hypothetical protein	122.1930237
4425_AS_042zhAM	Prodigal:002006	CDS	9064	10164	.	-	0	ID=JHFGFCBP_00056;eC_number=3.4.24.-;db_xref=COG:COG0517;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q57837;locus_tag=JHFGFCBP_00056;product=Zinc metalloprotease	131.3723907
4425_AS_042zhAM	Prodigal:002006	CDS	10308	10913	.	-	0	ID=JHFGFCBP_00057;eC_number=4.1.2.17;Name=fucA;db_xref=COG:COG0235;gene=fucA;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q58813;locus_tag=JHFGFCBP_00057;product=L-fuculose phosphate aldolase	136.6732635
4425_AS_042zhAM	Prodigal:002006	CDS	10918	12807	.	-	0	ID=JHFGFCBP_00058;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00058;product=hypothetical protein	137.1259308
4425_AS_042zhAM	Prodigal:002006	CDS	12788	13936	.	-	0	ID=JHFGFCBP_00059;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00059;product=hypothetical protein	132.7380371
4425_AS_042zhAM	Prodigal:002006	CDS	13991	15520	.	-	0	ID=JHFGFCBP_00060;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00060;product=hypothetical protein	138.0555573
4425_AS_042zhAM	Prodigal:002006	CDS	15695	16282	.	+	0	ID=JHFGFCBP_00061;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00061;product=hypothetical protein	122.6819763
4425_AS_042zhAM	Prodigal:002006	CDS	16384	17622	.	+	0	ID=JHFGFCBP_00062;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00062;product=hypothetical protein	122.9887009
4735_AS_042zhAM	Prodigal:002006	CDS	508	1299	.	+	0	ID=JHFGFCBP_00063;eC_number=2.1.1.-;Name=cmoM;gene=cmoM;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_02057;locus_tag=JHFGFCBP_00063;product=tRNA 5-carboxymethoxyuridine methyltransferase	110.7361145
4735_AS_042zhAM	Prodigal:002006	CDS	1568	1912	.	+	0	ID=JHFGFCBP_00064;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00064;product=hypothetical protein	33.5999985
4735_AS_042zhAM	Prodigal:002006	CDS	1909	3003	.	+	0	ID=JHFGFCBP_00065;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00065;product=hypothetical protein	41.1808205
4735_AS_042zhAM	Prodigal:002006	CDS	3030	3251	.	-	0	ID=JHFGFCBP_00066;eC_number=2.4.2.8;Name=hpt;db_xref=COG:COG0503;gene=hpt;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q6M0X3;locus_tag=JHFGFCBP_00066;product=Hypoxanthine/guanine phosphoribosyltransferase	137.6306305
4830_AS_042zhAM	Prodigal:002006	CDS	472	1122	.	+	0	ID=JHFGFCBP_00067;eC_number=2.7.4.31;Name=mfnE;db_xref=COG:COG2054;gene=mfnE;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q57900;locus_tag=JHFGFCBP_00067;product=[5-(aminomethyl)furan-3-yl]methyl phosphate kinase	125.2442398
4830_AS_042zhAM	Prodigal:002006	CDS	1173	1343	.	+	0	ID=JHFGFCBP_00068;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00068;product=hypothetical protein	110.1345062
4830_AS_042zhAM	Prodigal:002006	CDS	1354	1623	.	+	0	ID=JHFGFCBP_00069;Name=ef1b;db_xref=COG:COG2092;gene=ef1b;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:O27734;locus_tag=JHFGFCBP_00069;product=Elongation factor 1-beta	147.922226
4830_AS_042zhAM	Aragorn:001002	tRNA	1678	1751	.	+	.	ID=JHFGFCBP_00070;inference=COORDINATES:profile:Aragorn:001002;locus_tag=JHFGFCBP_00070;product=tRNA-Ala(cgc)	112.8918915
4830_AS_042zhAM	Prodigal:002006	CDS	1848	2084	.	+	0	ID=JHFGFCBP_00071;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00071;product=hypothetical protein	129.4388123
4830_AS_042zhAM	Prodigal:002006	CDS	2099	2509	.	+	0	ID=JHFGFCBP_00072;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00072;product=hypothetical protein	128.6934357
4830_AS_042zhAM	Prodigal:002006	CDS	2523	2882	.	+	0	ID=JHFGFCBP_00073;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00073;product=hypothetical protein	119.3249969
4830_AS_042zhAM	Prodigal:002006	CDS	2948	4021	.	+	0	ID=JHFGFCBP_00074;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00074;product=hypothetical protein	125.6703873
4830_AS_042zhAM	Prodigal:002006	CDS	4069	4488	.	-	0	ID=JHFGFCBP_00075;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00075;product=hypothetical protein	136.1595306
4830_AS_042zhAM	Prodigal:002006	CDS	4485	4922	.	-	0	ID=JHFGFCBP_00076;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00076;product=hypothetical protein	96.3447495
4830_AS_042zhAM	Prodigal:002006	CDS	4934	5752	.	-	0	ID=JHFGFCBP_00077;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00077;product=hypothetical protein	126.0598297
4830_AS_042zhAM	Prodigal:002006	CDS	5749	7263	.	-	0	ID=JHFGFCBP_00078;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00078;product=hypothetical protein	124.5148544
4830_AS_042zhAM	Prodigal:002006	CDS	7265	8383	.	-	0	ID=JHFGFCBP_00079;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00079;product=hypothetical protein	112.1322632
4830_AS_042zhAM	Prodigal:002006	CDS	8475	9809	.	-	0	ID=JHFGFCBP_00080;eC_number=6.3.1.2;Name=glnA_1;db_xref=COG:COG0174;gene=glnA_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q60182;locus_tag=JHFGFCBP_00080;product=Glutamine synthetase	112.1797791
4830_AS_042zhAM	Aragorn:001002	tRNA	10217	10290	.	-	.	ID=JHFGFCBP_00081;inference=COORDINATES:profile:Aragorn:001002;locus_tag=JHFGFCBP_00081;product=tRNA-Gly(ccc)	99.8918915
4830_AS_042zhAM	Prodigal:002006	CDS	10550	10909	.	-	0	ID=JHFGFCBP_00082;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00082;product=hypothetical protein	98.961113
5104_AS_042zhAM	Prodigal:002006	CDS	247	624	.	-	0	ID=JHFGFCBP_00083;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00083;product=hypothetical protein	130.6560822
5104_AS_042zhAM	Prodigal:002006	CDS	744	1187	.	-	0	ID=JHFGFCBP_00084;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00084;product=hypothetical protein	129.4594574
5104_AS_042zhAM	Prodigal:002006	CDS	1394	1699	.	+	0	ID=JHFGFCBP_00085;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00085;product=hypothetical protein	126.0980377
5104_AS_042zhAM	Prodigal:002006	CDS	1696	2097	.	+	0	ID=JHFGFCBP_00086;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00086;product=hypothetical protein	122.5099487
5104_AS_042zhAM	Prodigal:002006	CDS	2162	2761	.	-	0	ID=JHFGFCBP_00087;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00087;product=hypothetical protein	129.3466644
5104_AS_042zhAM	Prodigal:002006	CDS	3175	3564	.	-	0	ID=JHFGFCBP_00088;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00088;product=hypothetical protein	122.8717957
6771_AS_042zhAM	Prodigal:002006	CDS	24	1691	.	+	0	ID=JHFGFCBP_00089;Name=thsA_1;db_xref=COG:COG0459;gene=thsA_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:P61111;locus_tag=JHFGFCBP_00089;product=Thermosome subunit alpha	124.416069
6771_AS_042zhAM	Prodigal:002006	CDS	1862	3097	.	-	0	ID=JHFGFCBP_00090;Name=pan1;db_xref=COG:COG1222;gene=pan1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:D4GUJ7;locus_tag=JHFGFCBP_00090;product=Proteasome-activating nucleotidase 1	125.3478928
6771_AS_042zhAM	Prodigal:002006	CDS	3412	3732	.	-	0	ID=JHFGFCBP_00091;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00091;product=hypothetical protein	146.5981293
6771_AS_042zhAM	Prodigal:002006	CDS	3862	5244	.	-	0	ID=JHFGFCBP_00092;eC_number=4.2.1.11;Name=eno;db_xref=COG:COG0148;gene=eno;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q60173;locus_tag=JHFGFCBP_00092;product=Enolase	124.9833679
6771_AS_042zhAM	Prodigal:002006	CDS	5283	6344	.	+	0	ID=JHFGFCBP_00093;Name=fieF_1;gene=fieF_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01425;locus_tag=JHFGFCBP_00093;product=Ferrous-iron efflux pump FieF	117.4152527
6771_AS_042zhAM	Prodigal:002006	CDS	6384	6833	.	+	0	ID=JHFGFCBP_00094;db_xref=COG:COG0589;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:Q57997;locus_tag=JHFGFCBP_00094;product=Universal stress protein	118.2177811
6771_AS_042zhAM	Prodigal:002006	CDS	6900	7697	.	+	0	ID=JHFGFCBP_00095;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00095;product=hypothetical protein	202.9022522
6771_AS_042zhAM	Prodigal:002006	CDS	7941	9410	.	+	0	ID=JHFGFCBP_00096;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00096;product=hypothetical protein	110.2183685
6771_AS_042zhAM	Prodigal:002006	CDS	9458	10033	.	+	0	ID=JHFGFCBP_00097;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00097;product=hypothetical protein	136.8767395
6771_AS_042zhAM	Prodigal:002006	CDS	10203	10505	.	+	0	ID=JHFGFCBP_00098;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00098;product=hypothetical protein	117.633667
6771_AS_042zhAM	Prodigal:002006	CDS	10531	11253	.	-	0	ID=JHFGFCBP_00099;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00099;product=hypothetical protein	74.2434311
6771_AS_042zhAM	Prodigal:002006	CDS	11615	12367	.	-	0	ID=JHFGFCBP_00100;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00100;product=hypothetical protein	166.5471497
7129_AS_042zhAM	Prodigal:002006	CDS	126	1847	.	-	0	ID=JHFGFCBP_00101;eC_number=7.1.1.-;Name=ndhB_1;gene=ndhB_1;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00445;locus_tag=JHFGFCBP_00101;product=NAD(P)H-quinone oxidoreductase subunit 2%2C chloroplastic	131.0696869
7129_AS_042zhAM	Prodigal:002006	CDS	1853	2164	.	-	0	ID=JHFGFCBP_00102;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00102;product=hypothetical protein	161.4775696
7129_AS_042zhAM	Prodigal:002006	CDS	2211	2372	.	-	0	ID=JHFGFCBP_00103;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00103;product=hypothetical protein	175.7283936
7129_AS_042zhAM	Prodigal:002006	CDS	2407	3669	.	-	0	ID=JHFGFCBP_00104;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00104;product=hypothetical protein	135.8083954
7129_AS_042zhAM	Prodigal:002006	CDS	3774	5276	.	-	0	ID=JHFGFCBP_00105;eC_number=1.12.98.3;Name=fpoL_1;db_xref=COG:COG1009;gene=fpoL_1;inference=ab initio prediction:Prodigal:002006,similar to AA sequence:UniProtKB:F1SVK0;locus_tag=JHFGFCBP_00105;product=F(420)H(2) dehydrogenase subunit L	137.5509033
7129_AS_042zhAM	Prodigal:002006	CDS	5276	6796	.	-	0	ID=JHFGFCBP_00106;eC_number=7.1.1.-;Name=ndhB_2;gene=ndhB_2;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_00445;locus_tag=JHFGFCBP_00106;product=NAD(P)H-quinone oxidoreductase subunit 2%2C chloroplastic	123.3458252
7129_AS_042zhAM	Prodigal:002006	CDS	6805	7233	.	-	0	ID=JHFGFCBP_00107;eC_number=7.1.1.-;Name=ndhE;gene=ndhE;inference=ab initio prediction:Prodigal:002006,protein motif:HAMAP:MF_01456;locus_tag=JHFGFCBP_00107;product=NAD(P)H-quinone oxidoreductase subunit 4L%2C chloroplastic	142.899765
7129_AS_042zhAM	Prodigal:002006	CDS	7230	7715	.	-	0	ID=JHFGFCBP_00108;inference=ab initio prediction:Prodigal:002006;locus_tag=JHFGFCBP_00108;product=hypothetical protein	133.4547272
